Name: 都市剧场, URL: http://222.70.243.41:23456/rtp/239.45.3.136:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 355 ms
Name: 都市剧场, URL: http://222.68.33.45:9898/rtp/239.45.3.136:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 356 ms
Name: 都市剧场, URL: http://101.81.238.167:4022/rtp/239.45.3.136:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 357 ms
Name: 欢笑剧场, URL: http://116.226.59.137:4022/rtp/239.45.1.4:5140$3840x2160, Date: None, Resolution: 3840x2160, Response Time: 114 ms
Name: 欢笑剧场, URL: http://222.70.243.41:23456/rtp/239.45.1.4:5140$3840x2160, Date: 2024-10-01, Resolution: 3840x2160, Response Time: 136 ms
Name: 欢笑剧场, URL: http://222.68.33.45:9898/rtp/239.45.1.4:5140$3840x2160, Date: None, Resolution: 3840x2160, Response Time: 138 ms
Name: 欢笑剧场, URL: http://222.68.33.45:9898/rtp/239.45.1.4:5140$3840x2160, Date: 2024-10-01, Resolution: 3840x2160, Response Time: 172 ms
Name: 欢笑剧场, URL: http://116.226.59.137:4022/rtp/239.45.3.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 189 ms
Name: 欢笑剧场, URL: http://222.68.33.45:9898/rtp/239.45.3.196:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 221 ms
Name: 欢笑剧场, URL: http://222.68.33.45:9898/rtp/239.45.3.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 281 ms
Name: 欢笑剧场, URL: http://101.81.238.167:4022/rtp/239.45.3.196:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 338 ms
Name: 欢笑剧场, URL: http://222.70.243.41:23456/rtp/239.45.3.196:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 358 ms
Name: 崇明电视, URL: http://58.32.43.123:8888/rtp/239.45.1.54:5140$528x576, Date: 2024-09-23, Resolution: 528x576, Response Time: 150 ms
Name: 崇明电视, URL: http://222.68.33.45:9898/rtp/239.45.1.54:5140$528x576, Date: 2024-10-01, Resolution: 528x576, Response Time: 373 ms
Name: 崇明电视, URL: http://222.68.33.45:9898/rtp/239.45.1.54:5140$528x576, Date: None, Resolution: 528x576, Response Time: 373 ms
Name: 崇明电视, URL: http://222.70.243.41:23456/rtp/239.45.1.54:5140$528x576, Date: 2024-10-01, Resolution: 528x576, Response Time: 375 ms
Name: 崇明电视, URL: http://116.226.59.137:4022/rtp/239.45.1.54:5140$528x576, Date: None, Resolution: 528x576, Response Time: 375 ms
Name: 崇明电视, URL: http://101.81.238.167:4022/rtp/239.45.1.54:5140$528x576, Date: None, Resolution: 528x576, Response Time: 375 ms
Name: 健康人生, URL: http://58.32.43.123:8888/rtp/239.45.3.214:5140$528x576, Date: None, Resolution: 528x576, Response Time: 67 ms
Name: 健康人生, URL: http://58.32.43.123:8888/rtp/239.45.3.214:5140$528x576, Date: 2024-09-23, Resolution: 528x576, Response Time: 116 ms
Name: 健康人生, URL: http://222.70.243.41:23456/rtp/239.45.3.214:5140$528x576, Date: 2024-10-01, Resolution: 528x576, Response Time: 375 ms
Name: 健康人生, URL: http://222.68.33.45:9898/rtp/239.45.3.214:5140$528x576, Date: 2024-10-01, Resolution: 528x576, Response Time: 375 ms
Name: 健康人生, URL: http://222.68.33.45:9898/rtp/239.45.3.214:5140$528x576, Date: None, Resolution: 528x576, Response Time: 375 ms
Name: 健康人生, URL: http://116.226.59.137:4022/rtp/239.45.3.214:5140$528x576, Date: None, Resolution: 528x576, Response Time: 375 ms
Name: 健康人生, URL: http://101.81.238.167:4022/rtp/239.45.3.214:5140$528x576, Date: None, Resolution: 528x576, Response Time: 375 ms
Name: 中国教育1台, URL: http://116.226.59.137:4022/rtp/239.45.1.125:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 308 ms
Name: 中国教育1台, URL: http://222.68.33.45:9898/rtp/239.45.1.125:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 354 ms
Name: 中国教育1台, URL: http://101.81.238.167:4022/rtp/239.45.1.125:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 357 ms
Name: 中国教育1台, URL: http://222.68.33.45:9898/rtp/239.45.1.125:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 358 ms
Name: 中国教育1台, URL: http://222.70.243.41:23456/rtp/239.45.1.125:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 367 ms
Name: 全纪实, URL: http://58.32.43.123:8888/rtp/239.45.3.135:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 67 ms
Name: 全纪实, URL: http://222.68.33.45:9898/rtp/239.45.3.135:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 198 ms
Name: 全纪实, URL: http://222.68.33.45:9898/rtp/239.45.3.135:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 249 ms
Name: 全纪实, URL: http://116.226.59.137:4022/rtp/239.45.3.135:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 286 ms
Name: 全纪实, URL: http://101.81.238.167:4022/rtp/239.45.3.135:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 345 ms
Name: 全纪实, URL: http://222.70.243.41:23456/rtp/239.45.3.135:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 374 ms
Name: 游戏风云, URL: http://58.32.43.123:8888/rtp/239.45.3.131:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 22 ms
Name: 游戏风云, URL: http://116.226.59.137:4022/rtp/239.45.3.131:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 106 ms
Name: 游戏风云, URL: http://58.32.43.123:8888/rtp/239.45.3.131:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 115 ms
Name: 游戏风云, URL: http://222.68.33.45:9898/rtp/239.45.3.131:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 343 ms
Name: 游戏风云, URL: http://222.68.33.45:9898/rtp/239.45.3.131:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 366 ms
Name: 游戏风云, URL: http://222.70.243.41:23456/rtp/239.45.3.131:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 371 ms
Name: 游戏风云, URL: http://101.81.238.167:4022/rtp/239.45.3.131:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 法治天地, URL: http://58.32.43.123:8888/rtp/239.45.1.46:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 57 ms
Name: 法治天地, URL: http://58.32.43.123:8888/rtp/239.45.1.46:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 81 ms
Name: 法治天地, URL: http://116.226.59.137:4022/rtp/239.45.1.46:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 213 ms
Name: 法治天地, URL: http://222.68.33.45:9898/rtp/239.45.1.46:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 356 ms
Name: 法治天地, URL: http://222.68.33.45:9898/rtp/239.45.1.46:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 359 ms
Name: 法治天地, URL: http://101.81.238.167:4022/rtp/239.45.1.46:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 370 ms
Name: 法治天地, URL: http://222.70.243.41:23456/rtp/239.45.1.46:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 372 ms
Name: 七彩戏剧, URL: http://58.32.43.123:8888/rtp/239.45.3.61:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 364 ms
Name: 七彩戏剧, URL: http://58.32.43.123:8888/rtp/239.45.3.61:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 370 ms
Name: 七彩戏剧, URL: http://222.68.33.45:9898/rtp/239.45.3.61:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 374 ms
Name: 七彩戏剧, URL: http://222.68.33.45:9898/rtp/239.45.3.61:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 七彩戏剧, URL: http://116.226.59.137:4022/rtp/239.45.3.61:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 374 ms
Name: 七彩戏剧, URL: http://222.70.243.41:23456/rtp/239.45.3.61:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 375 ms
Name: 七彩戏剧, URL: http://101.81.238.167:4022/rtp/239.45.3.61:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 375 ms
Name: 金鹰纪实, URL: http://58.32.43.123:8888/rtp/239.45.1.45:5140$1920x1080, Date: 2024-09-23, Resolution: 1920x1080, Response Time: 39 ms
Name: 金鹰纪实, URL: http://116.226.59.137:4022/rtp/239.45.1.45:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 312 ms
Name: 金鹰纪实, URL: http://222.68.33.45:9898/rtp/239.45.1.45:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 352 ms
Name: 金鹰纪实, URL: http://222.68.33.45:9898/rtp/239.45.1.45:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 354 ms
Name: 金鹰纪实, URL: http://222.70.243.41:23456/rtp/239.45.1.45:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 375 ms
Name: 动漫秀场, URL: http://116.226.59.137:4022/rtp/239.45.3.134:5140$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 174 ms
Name: 动漫秀场, URL: http://222.70.243.41:23456/rtp/239.45.3.134:5140$1920x1080, Date: 2024-10-01, Resolution: 1920x1080, Response Time: 355 ms
