更新时间,#genre#
CCTV5体育,http://122.9.151.210:887/rtp/238.255.2.134:5999$组播源
CCTV5体育,http://139.196.151.191:6846/rtp/239.45.1.69:5140$组播源
CCTV5体育,http://116.128.242.83:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV5体育,http://113.57.93.165:9900/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV5体育,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265005/index.m3u8?channel-id=ystenlive&Contentid=1000000005000265005&livemode=1&stbId=no$订阅源
CCTV5体育,http://118.122.189.74:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV6电影,http://139.196.151.191:8963/rtp/239.45.1.70:5140$上海电信组播源
CCTV6电影,http://123.56.129.203:4310/rtp/225.1.8.84:8000$组播源
CCTV6电影,http://122.9.151.210:887/rtp/238.255.2.135:5999$组播源
CCTV6电影,http://116.128.242.83:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV6电影,http://mobilelive-timeshift.ysp.cctv.cn/timeshift/ysp/2013693901/timeshift.m3u8?delay=0&cdn=5202$订阅源|1920x1080
CCTV6电影,http://116.117.105.198:8096/tsfile/live/0006_1.m3u8$订阅源
CCTV6电影,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265006$订阅源
CCTV7国防军事,http://139.196.151.191:8963/rtp/239.45.3.56:5140$上海电信组播源
CCTV7国防军事,http://139.196.151.191:2051/rtp/239.45.3.56:5140$组播源
CCTV7国防军事,http://139.196.151.191:6846/rtp/239.45.3.56:5140$组播源
CCTV7国防军事,http://116.128.242.83:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV7国防军事,http://116.117.105.198:8096/tsfile/live/0007_1.m3u8$订阅源
CCTV7国防军事,http://119.163.199.98:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV7国防军事,http://39.98.201.151:9090/udp/225.1.8.7:8104$订阅源
CCTV8电视剧,http://139.196.151.191:8963/rtp/239.45.1.71:5140$上海电信组播源
CCTV8电视剧,http://123.56.129.203:2604/rtp/225.1.8.85:8000$组播源
CCTV8电视剧,http://139.196.151.191:2051/rtp/239.45.1.71:5140$组播源
CCTV8电视剧,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV8电视剧,http://www.72444165.xyz:5005/itv/ystenlive/1000000005000265008$订阅源
CCTV8电视剧,http://183.66.15.146:60901/tsfile/live/0008_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV8电视剧,http://121.24.98.232:8090/hls/16/index.m3u8$订阅源
CCTV9记录,http://139.196.151.191:8963/rtp/239.45.3.4:5140$上海电信组播源
CCTV9记录,http://123.56.129.203:2604/rtp/225.1.8.9:8112$组播源
CCTV9记录,http://122.9.151.210:887/rtp/238.255.2.155:5999$组播源
CCTV9记录,http://116.128.242.83:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV9记录,http://123.182.60.29:9002/hls/51/index.m3u8$订阅源
CCTV9记录,http://183.66.15.146:60901/tsfile/live/0009_1.m3u8?key=txiptv$订阅源|1920x1080
CCTV9记录,http://39.98.201.151:9090/udp/225.1.8.9:8112$订阅源
CCTV10科教,http://139.196.151.191:8963/rtp/239.45.3.8:5140$上海电信组播源
CCTV10科教,http://123.56.129.203:4310/rtp/225.1.8.10:8116$组播源
CCTV10科教,http://120.55.49.231:8617/rtp/233.50.201.122:5140$组播源
CCTV10科教,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV10科教,http://116.117.105.198:8096/tsfile/live/0010_1.m3u8$订阅源
CCTV10科教,http://58.216.229.130:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV10科教,http://39.98.201.151:9090/udp/225.1.8.10:8116$订阅源
CCTV11戏曲,http://139.196.151.191:8963/rtp/239.45.1.196:5140$上海电信组播源
CCTV11戏曲,http://139.196.151.191:7549/rtp/239.45.1.196:5140$组播源
CCTV11戏曲,http://123.56.129.203:2604/rtp/225.1.8.111:8040$组播源
CCTV11戏曲,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$北京酒店源
CCTV11戏曲,http://39.98.201.151:9090/udp/225.1.8.111:8040$订阅源
CCTV11戏曲,http://36.35.16.98:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV11戏曲,http://39.98.201.151:9090/udp/225.1.8.73:8120$订阅源
